Alaska,American,Delta,Frontier,Hawaiian,JetBlue,Southwest,Spirit,United,Virgin
0.87922696,0.87307222,0.96644343,0.8681386,0.83329056,0.73190317,0.98922038,0.54055322,0.74264086,0.59101429
0.338414,0.74592774,0.39929343,0.90583085,0.80586462,0.76080537,0.34779629,0.75354884,0.99790072,0.59101429
0.47680915,0.38729189,0.26716189,0.93821856,0.18041919,0.53774555,0.59273419,0.9720356,0.99201521,0.81149138
0.53649996,0.72724907,0.90850865,0.80279253,0.47680915,0.89830029,0.00208041,0.48449497,0.94432189,0.16709738
0.640881,0.73469201,0.90850865,0.51107319,0.34962681,0.90803376,0.71653126,0.77731544,0.79926549,0.16709738
0.93451399,0.96705449,0.96644343,0.69895151,0.99739218,0.6605105,0.93168275,0.82576424,0.90629132,0.59101429
0.96871525,0.38702853,0.93027686,0.86273213,0.3017644,0.9171265,0.94797531,0.48449497,0.96168775,0.16709738
0.96871525,0.60634876,0.92926806,0.77568932,0.80500742,0.56171864,0.99794296,0.6717763,0.97195339,0.92735757
0.86069447,0.63479424,0.99266102,0.97662145,0.94849463,0.72908002,0.51967983,0.63277496,0.33575039,0.16709738
0.9727202,0.9886922,0.06290907,0.85768451,0.81737304,0.94799552,0.29790167,0.59040019,0.48962899,0.16709738
0.50561476,0.23282104,0.8120033,0.08627735,0.20380995,0.72067856,0.97019902,0.85142101,0.72655824,0.59101429
0.95981165,0.74028877,0.93027686,0.79315025,0.3017644,0.99698041,0.44282863,0.59665096,0.40930964,0.16709738
0.12592387,0.8273198,0.53886892,0.86998544,0.95563266,0.63076033,0.95128144,0.6494813,0.9822561,0.16709738
0.53649996,0.98153408,0.89993387,0.98636249,0.25257231,0.83214833,0.53644774,0.98616347,0.81581847,0.16709738
0.76253714,0.99629012,0.53245431,0.86998544,0.33846997,0.91082581,0.95745922,0.77712498,0.35304985,0.16709738
0.00335705,0.98102862,0.72974319,0.97915917,0.99121652,0.34931763,0.7171686,0.97560311,0.94807484,0.16709738
0.6500616,0.94239961,0.7642981,0.24583696,0.92476339,0.78490958,0.99279129,0.28010517,0.89933252,0.59101429
0.59676407,0.54451681,0.20240344,0.44198744,0.44845873,0.53401737,0.96065702,0.71041697,0.84479668,0.16709738
0.59676407,0.77055011,0.5779906,0.8985394,0.44845873,0.95271713,0.81775189,0.64579356,0.48833212,0.55697151
0.95037444,0.9863268,0.93957587,0.82632609,0.94133799,0.94010846,0.99363376,0.9380886,0.99492752,0.16709738
0.1857176,0.17753473,0.93957587,0.44198744,0.57070056,0.5236224,0.97808767,0.86568229,0.2596574,0.83468615
0.34551107,0.85054856,0.98329301,0.44198744,0.34790064,0.37841058,0.55234253,0.98613137,0.98482374,0.16709738
0.70824176,0.96506007,0.99072349,0.91828498,0.50200999,0.95646754,0.80559069,0.93234742,0.7068388,0.7066419
0.34551107,0.99295089,0.51876119,0.44198744,0.55900626,0.95595967,0.4603236,0.93234742,0.88523941,0.83468615
0.85954427,0.41839635,0.30458047,0.79791763,0.5439215,0.00011502,0.87458377,0.95467577,0.98042245,0.83468615
0.41607428,0.35723853,0.89363967,0.80582237,0.92852503,0.94940103,0.270387,0.45026254,0.90418199,0.83468615
0.78895035,0.40968445,0.20078264,0.70144745,0.85671259,0.4721663,0.67432012,0.59676407,0.91271699,0.83468615
0.96267024,0.95100448,0.59676407,0.74296563,0.85671259,0.77307912,0.57026931,0.55947706,0.62481116,0.83468615
0.95046538,0.46717478,0.26104196,0.74296563,0.5521274,0.15461421,0.34779629,0.40518661,0.71994322,0.83468615
0.78415565,0.44809022,0.39410006,0.80582237,0.97513707,0.56435112,0.93549844,0.97277799,0.66879056,0.83468615
0.97171965,0.97026833,0.93027686,0.44198744,0.50522981,0.4721663,0.61027302,0.91766832,0.98438677,0.83468615
0.83660207,0.44809022,0.23980115,0.80582237,0.50522981,0.8976002,0.62064339,0.68429697,0.62249928,0.16709738
0.9992849,0.91717892,0.71326611,0.80582237,0.24837086,0.81680063,0.98781187,0.68429697,0.78730726,0.5436635
0.96767045,0.87916111,0.80370916,0.73651245,0.53396013,0.87136253,0.88384026,0.03394137,0.03792434,0.83468615
0.91799562,0.21217911,0.59634769,0.80582237,0.87432358,0.87136253,0.39666751,0.91535609,0.71777469,0.16709738
0.83853393,0.69895151,0.78389997,0.80582237,0.87432358,0.96267599,0.9959905,0.67459677,0.58154281,0.83468615
0.80582237,0.21000919,0.30651775,0.74296563,0.73846971,0.88006544,0.6166587,0.55697151,0.57557397,0.16709738
0.77704356,0.49068608,0.46454709,0.80582237,0.83500465,0.71932987,0.89037039,0.72998175,0.97950166,0.83468615
0.99221723,0.03305336,0.8442715,0.62404194,0.78210403,0.69781192,0.55697151,0.83452188,0.98238219,0.83468615
0.40178094,0.99421198,0.69811549,0.47680915,0.66920465,0.67244184,0.72073492,0.8010564,0.49782001,0.39174097
0.74002721,0.69895151,0.8110259,0.47680915,0.78210403,0.10355909,0.63719957,0.86588564,0.75049612,0.83468615
0.86568113,0.45880857,0.7243774,0.64909647,0.71775848,0.01929568,0.83417359,0.7623379,0.13949988,0.83468615
0.9884104,0.74990018,0.91183106,0.97029947,0.94225559,0.56171864,0.82330767,0.73466667,0.44050569,0.83468615
0.74002721,0.93134271,0.7138854,0.8985394,0.93235877,0.77110832,0.20567426,0.67459677,0.95910842,0.83468615
0.96546545,0.17397549,0.87879518,0.8985394,0.69700367,0.5462623,0.89099354,0.96017841,0.89009873,0.83468615
0.3459137,0.59519895,0.99911043,0.8985394,0.93235877,0.88904568,0.93077722,0.63358092,0.87781934,0.78917339
