alaskaair,AmericanAir,delta,flyfrontier,hawaiianair,jetblue,southwest,spiritairlines,united,virginamerica
0.993207564,0.873072218,0.987387697,0.997225759,0.931446864,0.952768009,0.996007193,0.959401168,0.886928098,0.797082711
0.965431424,0.955934406,0.830839687,0.998099546,0.805864618,0.959187572,0.591763404,0.753548841,0.999895274,0.797082711
0.712420708,0.926986185,0.729271576,0.976348199,0.374371061,0.801285788,0.966922978,0.989527347,0.998911864,0.921270082
0.758827128,0.878756828,0.986554313,0.967824329,0.712420708,0.958958734,0.957540608,0.874127857,0.992083672,0.597163458
0.996238579,0.953405598,0.986554313,0.954535802,0.798881767,0.984909435,0.872952488,0.962676347,0.999377852,0.597163458
0.996523304,0.998306732,0.987387697,0.944919813,0.999869842,0.964079306,0.97373316,0.972237124,0.906291322,0.797082711
0.988258793,0.387028526,0.996282391,0.944703944,0.761530717,0.6605105,0.99963036,0.874127857,0.99463735,0.597163458
0.988258793,0.999408342,0.972761301,0.998055337,0.918181372,0.995521284,0.999721114,0.976252175,0.996109967,0.971990165
0.943803844,0.927764077,0.999632048,0.999838732,0.997303741,0.904489975,0.888821558,0.927178847,0.788800458,0.597163458
0.999811071,0.999430903,0.785651481,0.991806525,0.970649333,0.729080022,0.994191977,0.590400194,0.722823383,0.597163458
0.99758216,0.691587179,0.812003301,0.996459851,0.933227021,0.999630511,0.995860202,0.991386639,0.981607165,0.797082711
0.994365296,0.885691727,0.996282391,0.965908466,0.761530717,0.981068777,0.941050186,0.916179139,0.653210167,0.597163458
0.743169917,0.989715198,0.994267132,0.980175829,0.997693857,0.999590273,0.9931167,0.649481303,0.999101433,0.597163458
0.758827128,0.999064216,0.960701976,0.998132341,0.478777758,0.971680598,0.895299087,0.999743085,0.998481132,0.597163458
0.762537143,0.999931803,0.893785008,0.980175829,0.911321639,0.998642741,0.997792798,0.904563379,0.995478321,0.597163458
0.973288855,0.734261014,0.952271433,0.997127741,0.999559016,0.986923296,0.949331806,0.999542191,0.980249532,0.597163458
0.973898391,0.999038131,0.95993606,0.469801799,0.970939943,0.998304296,0.999867027,0.280105168,0.899332517,0.797082711
0.80091134,0.99958834,0.97413502,0.68284992,0.688496573,0.986540378,0.960657024,0.869598108,0.844796682,0.597163458
0.80091134,0.898305775,0.964923925,0.994409609,0.688496573,0.938386447,0.970721609,0.930900185,0.875808203,0.773622488
0.992982807,0.770550105,0.998823507,0.996165254,0.996906982,0.997841713,0.999133654,0.991147294,0.999746233,0.597163458
0.996017758,0.9863268,0.998823507,0.68284992,0.986409627,0.952717132,0.996977217,0.94600263,0.488064768,0.83468615
0.966468714,0.969729984,0.999688898,0.68284992,0.914645236,0.977100177,0.901156398,0.994852893,0.994362886,0.597163458
0.979902546,0.939283964,0.996567233,0.995589162,0.997547128,0.523622401,0.988127771,0.990275358,0.706838799,0.979749749
0.966468714,0.999337323,0.888457388,0.68284992,0.985756799,0.62332845,0.863062205,0.990275358,0.999678763,0.83468615
0.859544272,0.992950891,0.543494788,0.914770843,0.764253056,0.993878087,0.992911093,0.999680211,0.997304843,0.83468615
0.840384268,0.999533898,0.997824828,0.968418414,0.996182178,0.955959673,0.881565579,0.998887897,0.994751653,0.83468615
0.910406628,0.968096931,0.93204846,0.979249172,0.856712587,0.961529739,0.674320116,0.916215226,0.966015325,0.83468615
0.999290273,0.836816571,0.80091134,0.993703469,0.856712587,0.999024807,0.570269307,0.962277277,0.624811163,0.83468615
0.999648967,0.999057272,0.261041956,0.993703469,0.961181637,0.708590853,0.591763404,0.931890588,0.874810642,0.83468615
0.999318171,0.467174781,0.818317538,0.968418414,0.990707392,0.961792981,0.996578981,0.996227095,0.845889649,0.83468615
0.999467236,0.857124554,0.818317538,0.68284992,0.735151766,0.574721176,0.809761313,0.988003603,0.994198959,0.83468615
0.974248161,0.998476712,0.827767926,0.968418414,0.735151766,0.778826356,0.923598844,0.977546295,0.989014904,0.597163458
0.999964373,0.857124554,0.996282391,0.968418414,0.709442921,0.708590853,0.999774063,0.977546295,0.371191187,0.764065627
0.987858498,0.726357538,0.99220332,0.736512446,0.894357988,0.994352282,0.993499213,0.996499734,0.909600767,0.83468615
0.988054934,0.96784861,0.713266109,0.968418414,0.949776326,0.998491033,0.641212356,0.91535609,0.977390144,0.597163458
0.990504158,0.951869414,0.995546671,0.968418414,0.949776326,0.980412081,0.999972876,0.849290865,0.980799844,0.83468615
0.968418414,0.843982029,0.800635344,0.993703469,0.884732518,0.980412081,0.813875257,0.773622488,0.998219555,0.597163458
0.962619895,0.944919813,0.986460875,0.968418414,0.932233794,0.962675987,0.983609547,0.98191692,0.964587306,0.83468615
0.999856356,0.935543074,0.96021052,0.92461297,0.986318975,0.993260786,0.773622488,0.973865578,0.997175795,0.83468615
0.646102309,0.981343721,0.979325237,0.712420708,0.937296947,0.874477331,0.950174086,0.998329416,0.999107927,0.826353353
0.997638538,0.974016841,0.998758707,0.712420708,0.986318975,0.862581663,0.826816348,0.865885643,0.729340672,0.83468615
0.946002119,0.999212737,0.992142046,0.931825184,0.949471597,0.672441841,0.973801364,0.984715898,0.750496117,0.83468615
0.999416563,0.944919813,0.969430026,0.995874525,0.892099676,0.863150821,0.989428021,0.953399822,0.765046681,0.83468615
0.997638538,0.458808569,0.724377402,0.994409609,0.991774446,0.98323591,0.838728801,0.849290865,0.977265838,0.83468615
0.99822229,0.890716425,0.995208935,0.994409609,0.97400469,0.904489975,0.997764227,0.99924097,0.994263084,0.83468615
0.913958073,0.999817303,0.713885397,0.994409609,0.97881543,0.998003936,0.990035283,0.989518535,0.983564668,0.965106908
0.997638538,0.608804556,0.878795179,0.994409609,0.97400469,0.765949619,0.888821558,0.720787254,0.645342809,0.83468615
0.981217895,0.726357538,0.999955673,0.994409609,0.784214886,0.983390476,0.970655885,0.794373118,0.99965511,0.83468615
0.995761254,0.799872872,0.995230012,0.92461297,0.871627952,0.97659906,0.986508073,0.954372785,0.986738239,0.83468615
0.907845693,0.992827837,0.952271433,0.999841896,0.970481639,0.716376863,0.998971279,0.993707847,0.999661639,0.83468615
0.998661358,0.580327998,0.661198566,0.999925317,0.848554694,0.994576631,0.954718588,0.793028819,0.998720148,0.83468615
0.999844819,0.889199467,0.687051368,0.999921389,0.794955645,0.988881895,0.641212356,0.956874179,0.902129244,0.83468615
0.890219975,0.940179927,0.999835514,0.842307737,0.997855003,0.994576631,0.942707158,0.975350974,0.989048425,0.976480617
0.960248327,0.971899636,0.949993873,0.997792798,0.981898089,0.863150821,0.682503314,0.91861828,0.998913384,0.83468615
0.980441059,0.967604378,0.509246446,0.997792798,0.961181637,0.979843776,0.993744817,0.91861828,0.99863547,0.675279091
0.900834376,0.770051141,0.991698888,0.997792798,0.970481639,0.994576631,0.978856034,0.926292124,0.929518078,0.597163458
0.976764176,0.281177159,0.753472691,0.997792798,0.949776326,0.857697939,0.986126854,0.999798504,0.713666796,0.993574854
0.812003301,0.86445552,0.999544391,0.997792798,0.990931513,0.952938271,0.913627216,0.93688192,0.865025136,0.879295966
0.998978172,0.998816612,0.497892512,0.997792798,0.970281313,0.999616524,0.994838946,0.894660891,0.99786374,0.999900306
0.988267956,0.988525985,0.312555295,0.997792798,0.953818319,0.938818654,0.780281917,0.99829484,0.728902215,0.998411888
0.99940914,0.991213382,0.975219367,0.997792798,0.976449132,0.997347562,0.99321909,0.999942407,0.969388805,0.991472035
0.762330657,0.988831648,0.997577742,0.997792798,0.953818319,0.98550785,0.999669856,0.997055654,0.713666796,0.995959226
0.998052773,0.999497685,0.661198566,0.997792798,0.953818319,0.712420708,0.949523864,0.967506749,0.999368802,0.969671809
