word,happy,sad
:),-2.97513,-23.69606
...,-5.50578,-5.13896
..,-5.53833,-5.33159
good,-5.96792,-7.0473
love,-6.08013,-7.27937
!!,-6.11094,-6.29471
!!!,-6.37589,-6.42193
thanks,-6.39538,-8.48155
lol,-6.46376,-6.85811
haha,-6.52428,-7.0789
day,-6.60124,-6.88708
happy,-6.63706,-8.43618
now,-6.66081,-6.39297
:d,-6.70703,-7.18731
get,-6.70729,-6.50039
follow,-6.75256,-8.2797
time,-6.81191,-7.03576
morning,-6.84729,-7.828
night,-6.94634,-7.35459
today,-6.95127,-6.84772
got,-7.01746,-6.90601
know,-7.02247,-6.96152
thank,-7.10824,-9.3981
going,-7.12724,-6.98902
great,-7.17118,-8.48979
new,-7.17728,-7.90633
well,-7.18825,-7.41401
hope,-7.32218,-7.58988
nice,-7.32451,-8.56744
please,-7.35263,-7.64079
hey,-7.3779,-8.52206
birthday,-7.39928,-9.10983
think,-7.42011,-7.27946
home,-7.44255,-7.21934
twitter,-7.45411,-7.72104
best,-7.45556,-8.55717
really,-7.45737,-6.86111
??,-7.46796,-7.19116
much,-7.47572,-7.28604
hehe,-7.53812,-8.60609
fun,-7.54533,-8.18888
tonight,-7.56378,-7.74148
hahaha,-7.58556,-7.89611
make,-7.59633,-7.74245
tomorrow,-7.60396,-7.45274
yes,-7.6166,-8.37829
come,-7.63053,-7.53297
wait,-7.64142,-8.32365
work,-7.65086,-6.82528
want,-7.66179,-6.77996
iya,-7.66362,-7.8133
better,-7.66592,-7.86455
yeah,-7.66701,-7.9846
need,-7.68246,-7.05372
watching,-7.69118,-8.43455
done,-7.69368,-8.43531
right,-7.71856,-7.54179
still,-7.74914,-7.03173
say,-7.74983,-8.07015
way,-7.7528,-7.94918
weekend,-7.76175,-7.9688
gonna,-7.76612,-7.62698
aja,-7.83063,-7.60181
last,-7.83397,-7.33366
makasih,-7.84987,-10.42759
kak,-7.85964,-8.54986
awesome,-7.86298,-9.27465
always,-7.86934,-8.15587
yaa,-7.90635,-8.52593
selamat,-7.91255,-10.32133
amazing,-7.91375,-9.3033
let,-7.92211,-8.35869
tweet,-7.93889,-8.27581
followed,-7.94123,-10.34797
miss,-7.94468,-6.43117
soon,-7.96003,-8.01957
next,-7.9751,-8.05371
people,-7.98183,-8.09795
guys,-7.98655,-8.46691
sure,-7.99089,-8.70173
sleep,-7.99996,-7.28043
welcome,-8.00215,-10.69495
life,-8.0173,-8.19512
okay,-8.01881,-8.56829
everyone,-8.02944,-8.59162
lagi,-8.0305,-7.51641
never,-8.03476,-7.55595
feel,-8.04362,-6.97223
week,-8.05059,-7.80862
bed,-8.07036,-7.78006
girl,-8.08388,-8.67982
cool,-8.08644,-9.06643
take,-8.09575,-8.15079
hello,-8.10825,-9.93078
hari,-8.11028,-8.20461
getting,-8.11915,-7.88776
wish,-8.11957,-7.03463
made,-8.14857,-8.58793
